player_id,gsis_id,name,position,pro_team
4360967,00-0039530,Brevyn Spann-Ford,,
4361050,00-0037838,Isaiah Likely,,
4361259,00-0037013,Zach Wilson,,
4361307,00-0037744,Trey McBride,,
4361370,00-0037239,Chris Olave,,
4361372,00-0037805,Jeremy Ruckert,,
4361409,00-0037741,Jahan Dotson,,
4361411,00-0036894,Pat Freiermuth,,
4361418,00-0039152,Will Levis,,
4361432,00-0037816,Romeo Doubs,,
4361516,00-0038115,Daniel Bellinger,,
4361529,00-0037197,Isiah Pacheco,,
4361577,00-0036626,Dyami Brown,,
4361579,00-0036997,Javonte Williams,,
4361741,00-0037834,Brock Purdy,,
4361777,00-0038040,Zamir White,,
4362018,00-0038710,Blake Whiteheart,,
4362081,00-0037224,Cameron Dicker,,
4362238,00-0038597,Chase Brown,,
4362249,00-0039146,Jayden Reed,,
4362452,00-0036755,Jaret Patterson,,
4362477,00-0038573,Derius Davis,,
4362478,00-0038705,Emari Demercado,,
4362619,00-0038611,Chris Rodriguez Jr.,,
4362628,00-0036900,Ja'Marr Chase,,
4362630,00-0036955,Terrace Marshall Jr.,,
4362748,00-0037085,Tyler Badie,,
4362887,00-0036945,Justin Fields,,
4362921,00-0038104,Tyquan Thornton,,
4363538,00-0038567,Chad Ryland,,
4363551,00-0038953,Dylan Drummond,,
4365395,00-0038720,Julian Hill,,
4366031,00-0038977,Tank Dell,,
4366963,00-0039407,Dylan Laube,,
4367209,00-0037252,Greg Dulcich,,
4367567,00-0037594,Julius Chestnut,,
4368003,00-0038619,Andrei Iosivas,,
4369863,00-0038979,Cedric Tillman,,
4371733,00-0036919,Kenny Gainwell,,
4372016,00-0036613,Jaylen Waddle,,
4372019,00-0037267,Jerome Ford,,
4372066,00-0038562,Jake Moody,,
4372096,00-0038547,Luke Schoonmaker,,
4372414,00-0036980,Elijah Moore,,
4372505,00-0039050,Payne Durham,,
4372561,00-0039363,Isaac Guerendo,,
4372716,00-0038519,Nikko Remigio,,
4372780,00-0037005,Tommy Tremble,,
4373030,00-0038809,Ben Sims,,
4373273,00-0039603,British Brooks,,
4373626,00-0037263,Tyler Allgeier,,
4373678,00-0037261,Khalil Shakir,,
4374302,00-0036963,Amon-Ra St. Brown,,
4379399,00-0037248,James Cook III,,
4382466,00-0037291,Jalen Nailor,,
4383351,00-0037012,Trey Lance,,
4383396,00-0038738,Hunter Luepke,,
4383429,00-0038896,Jacob Saylors,,
4383440,00-0038783,Nate Adkins,,
4385690,00-0038933,Dalton Kincaid,,
4386544,00-0038359,Xavier Smith,,
4401805,00-0037093,Dareke Young,,
4424106,00-0035645,Gunner Olszewski,,
4426338,00-0039732,Bo Nix,,
4426339,00-0039376,Spencer Rattler,,
4426348,00-0039910,Jayden Daniels,,
4426354,00-0037247,George Pickens,,
4426385,00-0039165,Zach Charbonnet,,
4426386,00-0039021,Roschon Johnson,,
4426388,00-0037240,Jameson Williams,,
4426485,00-0039062,Jonathan Mingo,,
4426496,00-0039359,Cade Stover,,
4426502,00-0037238,Drake London,,
4426515,00-0039075,Puka Nacua,,
4426535,00-0040311,Theo Wease Jr.,,
4426553,00-0039074,Davis Allen,,
4426689,00-0040476,Ulysses Bentley IV,,
4426844,00-0039041,Elijah Higgins,,
4426875,00-0037077,Sam Howell,,
4426948,00-0039355,Luke McCaffrey,,
4427095,00-0038621,DeMario Douglas,,
4427238,00-0040704,Dillon Gabriel,,
4427366,00-0038120,Breece Hall,,
4427600,00-0039757,Terrell Jennings,,
4427728,00-0037157,Bam Knight,,
4427834,00-0039814,Erick All Jr.,,
4427985,00-0039386,Bub Means,,
4428085,00-0039144,Luke Musgrave,,
4428209,00-0039916,Ricky Pearsall,,
4428331,00-0039067,Rashee Rice,,
4428557,00-0039032,Tyjae Spears,,
4428718,00-0038563,Tre Tucker,,
4428850,00-0038393,Dontayvion Wicks,,
4428963,00-0038097,Cade York,,
4429013,00-0038555,Tank Bigsby,,
4429022,00-0038608,Kayshon Boutte,,
4429023,00-0039811,MarShawn Lloyd,,
4429025,00-0038544,Quentin Johnston,,
4429059,00-0040583,Woody Marks,,
4429084,00-0039164,Anthony Richardson Sr.,,
4429086,00-0039066,Michael Mayer,,
4429096,00-0039738,Blake Corum,,
4429105,00-0040582,Arian Smith,,
4429121,00-0040205,Kalel Mullings,,
4429148,00-0039847,Theo Johnson,,
4429160,00-0039040,De'Von Achane,,
4429202,00-0038389,Israel Abanikanda,,
4429205,00-0038994,Jordan Addison,,
4429262,00-0039420,Jaheim Bell,,
4429275,00-0039921,Trey Benson,,
4429299,00-0040208,Tahj Brooks,,
